id,graph_category,qwen_score,pixtral_score,idefics_score,summary_score,rag_solution_score
000001,statistical,0.63633174,0.62648135,0.6993508,0.67881393,0.64200485
000002,statistical,0.6300382,0.6886654,0.67933625,0.66902333,0.67712545
000003,statistical,0.683675,0.68720543,0.7164148,0.6933387,0.6936197
000004,statistical,0.6663565,0.6613376,0.70750564,0.7029262,0.6853131
000005,statistical,0.692534,0.6880004,0.6703133,0.6605653,0.7063804
000006,statistical,0.7087823,0.68797624,0.7018152,0.68696296,0.70851237
000007,statistical,0.67710936,0.6819848,0.7080841,0.64903986,0.67943794
000008,statistical,0.7196092,0.68419874,0.73179364,0.69630367,0.7063569
000009,statistical,0.6901372,0.6532074,0.6672369,0.6740634,0.6983864
000010,statistical,0.6878095,0.6681924,0.6866325,0.6546852,0.68445116
000011,statistical,0.7164722,0.69008106,0.7308751,0.6935116,0.7180007
000012,statistical,0.7023458,0.64859545,0.68642056,0.63253057,0.6938972
000013,statistical,0.6933591,0.66051316,0.64417547,0.6020476,0.7017454
000014,statistical,0.66923887,0.6919149,0.68209904,0.68736607,0.7120098
000015,statistical,0.70620507,0.6958851,0.69652426,0.6874316,0.6860651
000016,statistical,0.69329405,0.6534819,0.6817512,0.6890145,0.70942175
000017,statistical,0.72520006,0.6675319,0.7184892,0.68186206,0.67627454
000018,statistical,0.6398636,0.6764129,0.749152,0.7028966,0.6845499
000019,statistical,0.67258126,0.6684008,0.6449314,0.6561315,0.7013554
000020,statistical,0.6620886,0.6880025,0.6367804,0.67372555,0.70645195
000021,statistical,0.62817264,0.6788236,0.65282357,0.6861881,0.7027605
000022,statistical,0.7122918,0.6919399,0.6868999,0.6648879,0.7011935
000023,statistical,0.6833063,0.66008955,0.66341794,0.63544774,0.68029875
000024,statistical,0.6757864,0.6978401,0.68174934,0.7047786,0.720635
000025,statistical,0.7053497,0.7229025,0.75384665,0.74713534,0.736782
000026,statistical,0.68998104,0.7291499,0.73179376,0.74228305,0.7259817
000027,statistical,0.7104979,0.68039364,0.7149172,0.70214164,0.71859217
000028,statistical,0.7293462,0.7605066,0.78447175,0.74271,0.76630336
000029,statistical,0.70549697,0.7473162,0.75274736,0.72988725,0.7521794
000030,statistical,0.6925671,0.6909882,0.7255465,0.6882817,0.6790006
000031,statistical,0.73359525,0.75221425,0.79169476,0.71356475,0.72307223
000032,statistical,0.7103227,0.7389567,0.7857761,0.72511697,0.7395672
000033,statistical,0.6681061,0.69794726,0.69190025,0.6855496,0.7088272
000034,statistical,0.70212716,0.6912676,0.7042101,0.6751867,0.7143255
000035,statistical,0.74476665,0.71053773,0.72186303,0.7032223,0.70360655
000036,statistical,0.6833912,0.69095236,0.6615555,0.6789223,0.69798225
000037,statistical,0.6740924,0.6874975,0.66421336,0.67014354,0.67229056
000038,statistical,0.6958427,0.68627536,0.6844333,0.6374595,0.69556844
000039,statistical,0.7300877,0.70795554,0.68040997,0.7200735,0.7178651
000040,statistical,0.69402075,0.7124751,0.69388086,0.7098621,0.6837622
000041,statistical,0.7037943,0.7217392,0.6898592,0.70083433,0.73691416
000045,statistical,0.65945923,0.6647006,0.7195889,0.6737429,0.6838501
000046,statistical,0.6665949,0.67648387,0.688891,0.682631,0.71554023
000047,statistical,0.65313673,0.6587763,0.72878736,0.6932409,0.69365555
000048,statistical,0.68127763,0.69728225,0.7253972,0.6620536,0.6785009
000049,statistical,0.69247586,0.67877346,0.7120542,0.69468623,0.71689194
000050,statistical,0.7151392,0.68691796,0.69978464,0.67684555,0.7051267
000051,statistical,0.6833119,0.66867113,0.68854994,0.6406083,0.73231673
000052,statistical,0.675392,0.69159555,0.68707466,0.7151285,0.7326387
000053,statistical,0.7004896,0.6807289,0.6742155,0.69556487,0.7082581
000054,statistical,0.67253786,0.7049076,0.7098227,0.6766452,0.6954979
000055,statistical,0.67178077,0.70475405,0.70873857,0.70452756,0.70962024
000056,statistical,0.66390973,0.6714485,0.669229,0.66049033,0.6724531
000057,statistical,0.6628285,0.6955034,0.6807153,0.67782205,0.7088406
000058,statistical,0.6934811,0.6800203,0.6941569,0.65869504,0.67768586
000059,statistical,0.6988268,0.6811148,0.6861717,0.70760536,0.7094507
000060,statistical,0.6700205,0.6789714,0.64811665,0.67717224,0.68066025
